City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Couldiness,Wind Speed
0,Cockburn Town,TC,21.4612,-71.1419,82.47,73,4,5.23
1,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,100,4.5
2,Mattru,SL,7.6244,-11.8332,73.09,99,97,2.48
3,Storforshei,NO,66.4043,14.5233,43.66,98,100,4.43
4,Qaanaaq,GL,77.484,-69.3632,16.38,71,25,7.65
5,Georgetown,MY,5.4112,100.3354,88.9,74,20,13.0
6,Castro,BR,-24.7911,-50.0119,55.47,97,12,4.29
7,Auki,SB,-8.7676,160.7034,81.59,77,23,3.04
8,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
9,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
10,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
11,Moerai,PF,-22.4333,-151.3333,75.4,77,0,14.74
12,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
13,Chokurdakh,RU,70.6333,147.9167,32.92,98,100,15.9
14,Ixtapa,MX,20.7,-105.2,77.23,97,100,2.77
15,Ballina,AU,-28.8667,153.5667,66.38,72,40,14.97
16,Marawi,PH,7.9986,124.2928,74.64,82,98,3.27
17,Volga,RU,57.9516,38.3879,47.37,95,100,4.88
18,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
19,Sao Filipe,CV,14.8961,-24.4956,77.9,75,72,8.97
20,Busselton,AU,-33.65,115.3333,61.05,75,61,12.5
21,Lorengau,PG,-2.0226,147.2712,83.91,73,100,6.4
22,Cabo San Lucas,MX,22.8909,-109.9124,85.51,81,2,4.0
23,Bjerkvik,NO,68.5597,17.5189,46.2,72,100,5.95
24,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
25,Mahebourg,MU,-20.4081,57.7,77.29,69,75,12.66
26,Kosh-Agach,RU,50.0,88.6667,40.87,34,99,23.42
27,Hermanus,ZA,-34.4187,19.2345,63.9,84,100,5.82
28,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,100,4.5
29,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
30,Cayenne,GF,4.9333,-52.3333,80.1,86,75,2.3
31,Pisco,PE,-13.7,-76.2167,60.85,82,75,5.75
32,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
33,Khatanga,RU,71.9667,102.5,37.08,72,100,12.28
34,Butaritari,KI,3.0707,172.7902,82.69,77,25,12.48
35,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
36,Nedjo,ET,9.5046,35.5019,57.09,97,100,1.19
37,Hithadhoo,MV,-0.6,73.0833,82.49,76,100,14.76
38,Saint-Pierre,RE,-21.3393,55.4781,80.29,64,0,31.07
39,Nikolskoye,RU,59.7035,30.7861,49.39,88,100,9.19
40,Tuktoyaktuk,CA,69.4541,-133.0374,33.6,97,100,13.65
41,Saint-Philippe,RE,-21.3585,55.7679,80.22,80,47,14.9
42,Hervey Bay,AU,-25.2986,152.8535,75.31,70,95,19.3
43,Ushuaia,AR,-54.8,-68.3,37.06,65,40,8.05
44,Upernavik,GL,72.7868,-56.1549,19.35,62,0,4.92
45,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
46,Rawson,AR,-43.3002,-65.1023,48.27,54,6,21.45
47,Guerrero Negro,MX,27.9769,-114.0611,69.75,76,38,13.18
48,Touros,BR,-5.1989,-35.4608,74.3,87,47,14.09
49,Albany,US,42.6001,-73.9662,59.59,92,77,7.05
50,Lebu,CL,-37.6167,-73.65,46.44,85,14,13.24
51,Luderitz,NA,-26.6481,15.1594,67.44,47,7,14.05
52,Udachnyy,RU,66.4167,112.4,41.18,46,26,15.17
53,Chuy,UY,-33.6971,-53.4616,58.96,88,92,2.37
54,Dingle,PH,10.9995,122.6711,86.59,71,51,4.97
55,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,83,82,25.52
56,Georgetown,MY,5.4112,100.3354,88.9,74,20,13.0
57,Parana,AR,-31.732,-60.5238,60.57,82,0,8.68
58,Port Hardy,CA,50.6996,-127.4199,53.78,94,90,6.91
59,Sitka,US,57.0531,-135.33,46.29,87,75,0.0
